taxonomy_id	species	genus	family	order	class	phylum	kingdom
2997333	Baekduia alba	Baekduia	Baekduiaceae	Solirubrobacterales	Thermoleophilia	Actinomycetota	Bacteria
319706	Mycolicibacterium phocaicum	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1682113	Mycobacterium adipatum	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1608957	Euzebya pacifica	Euzebya	Euzebyaceae	Euzebyales	Nitriliruptoria	Actinomycetota	Bacteria
216929	Mycolicibacterium psychrotolerans	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2498135	Streptomonospora litoralis	Streptomonospora	Nocardiopsaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacteria
39694	Mycolicibacterium poriferae	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
67081	Mycolicibacterium alvei	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
212765	Mycolicibacterium madagascariense	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2811111	Natronosporangium hydrolyticum	Natronosporangium	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacteria
1431246	Mycolicibacterium anyangense	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2875706	Streptomyces gobiensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
39688	Mycolicibacterium duvalii	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2675754	Occultella kanbiaonis	Occultella	Ruaniaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2094119	Mycobacterium basiliense	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
886343	Mycobacterium spongiae	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
386911	Mycobacterium seoulense	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
577492	Mycobacterium paraterrae	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
36813	Mycolicibacterium pulveris	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1792	Mycolicibacterium chitae	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
571913	Luteipulveratus mongoliensis	Luteipulveratus	Dermacoccaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
1775	Mycobacterium cookii	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
496014	Baekduia soli	Baekduia	Baekduiaceae	Solirubrobacterales	Thermoleophilia	Actinomycetota	Bacteria
2949664	Paraconexibacter antarcticus	Paraconexibacter	Paraconexibacteraceae	Solirubrobacterales	Thermoleophilia	Actinomycetota	Bacteria
2596828	Microlunatus elymi	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2712223	Nocardioides anomalus	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
43348	Mycobacterium branderi	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
169765	Mycobacterium lacus	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
53376	Mycobacterium heidelbergense	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1249101	Mycolicibacterium celeriflavum	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1520670	[Mycobacterium] stephanolepidis	Mycobacteroides	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1795032	Mycolicibacter virginiensis	Mycolicibacter	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2849501	Nocardioides panacis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
1564165	Blastococcus brunescens	Blastococcus	Geodermatophilaceae	Geodermatophilales	Actinomycetes	Actinomycetota	Bacteria
2665642	Allosaccharopolyspora coralli	Allosaccharopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacteria
1534348	Mycolicibacterium sarraceniae	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
459858	Mycobacterium noviomagense	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
404941	Mycobacteroides salmoniphilum	Mycobacteroides	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2884263	Dermatobacter hominis	Dermatobacter	Iamiaceae	Acidimicrobiales	Acidimicrobiia	Actinomycetota	Bacteria
875328	Mycolicibacter sinensis	Mycolicibacter	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1670831	Egibacter rhizosphaerae	Egibacter	Egibacteraceae	Egibacterales	Nitriliruptoria	Actinomycetota	Bacteria
2587808	Cellulosimicrobium protaetiae	Cellulosimicrobium	Promicromonosporaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
1643322	Nocardioides ungokensis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
160826	Nocardioides aquaticus	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
444597	Mycolicibacterium insubricum	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2944128	Jatrophihabitans cynanchi	Jatrophihabitans	Jatrophihabitantaceae	Jatrophihabitantales	Actinomycetes	Actinomycetota	Bacteria
398694	Mycobacterium shinjukuense	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2894081	Nocardioides okcheonensis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2492438	Mycobacterium novum	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2779775	Ruania alkalisoli	Ruania	Ruaniaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2589074	Nocardioides sambongensis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
1136941	Gordonia phthalatica	Gordonia	Gordoniaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2898795	Brevibacterium zhoupengii	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
29314	Mycolicibacter hiberniae	Mycolicibacter	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2819238	Pengzhenrongella sicca	Pengzhenrongella		Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2663857	Nocardioides marmotae	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2220095	Cryobacterium soli	Cryobacterium	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2653851	Rubrobacter tropicus	Rubrobacter	Rubrobacteraceae	Rubrobacterales	Rubrobacteria	Actinomycetota	Bacteria
453304	Agromyces aureus	Agromyces	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2211210	Arthrobacter dokdonellae	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2760083	Tomitella gaofuii	Tomitella		Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2895559	Subtercola endophyticus	Subtercola	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2942909	Brachybacterium kimchii	Brachybacterium	Dermabacteraceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2897773	Ruania halotolerans	Ruania	Ruaniaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2685869	Nocardioides ochotonae	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2697565	Brevibacterium limosum	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
1268041	Frondihabitans sucicola	Frondihabitans	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
1118379	Mycolicibacter minnesotensis	Mycolicibacter	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2760089	Nocardioides dongkuii	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2736757	Nocardioides campestrisoli	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2038343	Jatrophihabitans telluris	Jatrophihabitans	Jatrophihabitantaceae	Jatrophihabitantales	Actinomycetes	Actinomycetota	Bacteria
2968083	Cellulomonas xiejunii	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2599293	Humibacter ginsenosidimutans	Humibacter	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2690837	Eggerthella guodeyinii	Eggerthella	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinomycetota	Bacteria
2813727	Arthrobacter polaris	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2589797	Georgenia yuyongxinii	Georgenia	Bogoriellaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2909672	Brevibacterium spongiae	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
1793	Mycolicibacterium fallax	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2697563	Brevibacterium atlanticum	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2653852	Rubrobacter marinus	Rubrobacter	Rubrobacteraceae	Rubrobacterales	Rubrobacteria	Actinomycetota	Bacteria
1069220	Mycolicibacillus koreensis	Mycolicibacillus	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2968085	Cellulomonas wangsupingiae	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2594265	Ornithinimicrobium ciconiae	Ornithinimicrobium	Ornithinimicrobiaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
1774216	Nocardioides rotundus	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2816956	Cellulomonas wangleii	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2483798	Nocardioides pantholopis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
126673	Mycolicibacterium doricum	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1891644	Epidermidibacterium keratini	Epidermidibacterium	Sporichthyaceae	Sporichthyales	Actinomycetes	Actinomycetota	Bacteria
2518370	Nocardioides euryhalodurans	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2929802	Agromyces larvae	Agromyces	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2558918	Nocardioides cynanchi	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2819978	Cellulomonas fengjieae	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2057800	Actinomyces qiguomingii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetes	Actinomycetota	Bacteria
2782169	Microbacterium cremeum	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2819979	Cellulomonas dongxiuzhuiae	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
1670830	Egicoccus halophilus	Egicoccus	Egicoccaceae	Egicoccales	Nitriliruptoria	Actinomycetota	Bacteria
2518371	Nocardioides seonyuensis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2597660	Tomitella fengzijianii	Tomitella		Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2811108	Natronoglycomyces albus	Natronoglycomyces	Glycomycetaceae	Glycomycetales	Actinomycetes	Actinomycetota	Bacteria
1332264	Tessaracoccus aquimaris	Tessaracoccus	Propionibacteriaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
